	記号,一般,*,*,*,*,*
ガイド	名詞,サ変接続,*,*,*,*,ガイド,ガイド,ガイド
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
っ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
、	記号,読点,*,*,*,*,、,、,、
うーーー	副詞,一般,*,*,*,*,うー,ウーー,ウー
ん	助動詞,*,*,*,不変化型,基本形,ん,ン,ン
。	記号,句点,*,*,*,*,。,。,。
風邪	名詞,一般,*,*,*,*,風邪,カゼ,カゼ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
(º﹃º	記号,一般,*,*,*,*,*
 	記号,一般,*,*,*,*,*
)	記号,一般,*,*,*,*,*
みっちゃん	名詞,固有名詞,人名,一般,*,*,みっちゃん,ミッチャン,ミッチャン
マジで	名詞,固有名詞,一般,*,*,*,マジで,マジデ,マジデ
びびっ	動詞,自立,*,*,五段・ラ行,連用タ接続,びびる,ビビッ,ビビッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
面白かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,面白い,オモシロカッ,オモシロカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
！	記号,一般,*,*,*,*,！,！,！
#	記号,一般,*,*,*,*,*
ぶるぺん	名詞,一般,*,*,*,*,ブルペン,ブルペン,ブルペン
よく	副詞,一般,*,*,*,*,よく,ヨク,ヨク
分から	動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
？	記号,一般,*,*,*,*,？,？,？
女子大生	名詞,固有名詞,一般,*,*,*,女子大生,ジョシダイセイ,ジョシダイセイ
らしき	助動詞,*,*,*,形容詞・イ段,体言接続,らしい,ラシキ,ラシキ
ふたり	名詞,一般,*,*,*,*,ふたり,フタリ,フタリ
。	記号,句点,*,*,*,*,。,。,。
電車	名詞,一般,*,*,*,*,電車,デンシャ,デンシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
なか	名詞,非自立,副詞可能,*,*,*,なか,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
会話	名詞,サ変接続,*,*,*,*,会話,カイワ,カイワ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
宇宙	名詞,一般,*,*,*,*,宇宙,ウチュウ,ウチュー
語	名詞,接尾,一般,*,*,*,語,ゴ,ゴ
？	記号,一般,*,*,*,*,？,？,？
」	記号,括弧閉,*,*,*,*,」,」,」
こんな	連体詞,*,*,*,*,*,こんな,コンナ,コンナ
素敵	名詞,形容動詞語幹,*,*,*,*,素敵,ステキ,ステキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
化学	名詞,一般,*,*,*,*,化学,カガク,カガク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
姉さん	名詞,一般,*,*,*,*,姉さん,ネエサン,ネーサン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
習っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,習う,ナラッ,ナラッ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
理科	名詞,一般,*,*,*,*,理科,リカ,リカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
得意	名詞,形容動詞語幹,*,*,*,*,得意,トクイ,トクイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
そう	名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
！	記号,一般,*,*,*,*,！,！,！
#	記号,一般,*,*,*,*,*
ぶるぺん	名詞,一般,*,*,*,*,ブルペン,ブルペン,ブルペン
今度	名詞,副詞可能,*,*,*,*,今度,コンド,コンド
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
救い	名詞,一般,*,*,*,*,救い,スクイ,スクイ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
多分	副詞,一般,*,*,*,*,多分,タブン,タブン
また	接続詞,*,*,*,*,*,また,マタ,マタ
フラ	名詞,一般,*,*,*,*,フラ,フラ,フラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
諦めよ	動詞,自立,*,*,一段,未然ウ接続,諦める,アキラメヨ,アキラメヨ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
飲ん	動詞,自立,*,*,五段・マ行,連用タ接続,飲む,ノン,ノン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク
カレー	名詞,固有名詞,地域,一般,*,*,カレー,カレー,カレー
辛	名詞,一般,*,*,*,*,辛,カラシ,カラシ
すぎ	名詞,接尾,一般,*,*,*,すぎ,スギ,スギ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ
マジで	名詞,固有名詞,一般,*,*,*,マジで,マジデ,マジデ
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
五十嵐	名詞,固有名詞,人名,姓,*,*,五十嵐,イガラシ,イガラシ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
身振り	名詞,一般,*,*,*,*,身振り,ミブリ,ミブリ
手振り	名詞,一般,*,*,*,*,手振り,テブリ,テブリ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
可愛い	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ
！	記号,一般,*,*,*,*,！,！,！
#	記号,一般,*,*,*,*,*
ぶるぺん	名詞,一般,*,*,*,*,ブルペン,ブルペン,ブルペン
HR	名詞,固有名詞,一般,*,*,*,HR,エイチアール,エイチアール
5	名詞,数,*,*,*,*,*
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
地味	名詞,形容動詞語幹,*,*,*,*,地味,ジミ,ジミ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
進め	動詞,自立,*,*,一段,連用形,進める,ススメ,ススメ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
も	助詞,係助詞,*,*,*,*,も,モ,モ
草	名詞,一般,*,*,*,*,草,クサ,クサ
🏐	記号,一般,*,*,*,*,バレーボール,バレーボール,バレーボール
ユニフォーム	名詞,一般,*,*,*,*,ユニフォーム,ユニフォーム,ユニフォーム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
色	名詞,一般,*,*,*,*,色,イロ,イロ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
LOT	名詞,固有名詞,人名,一般,*,*,LOT,ロット,ロット
✈	名詞,一般,*,*,*,*,飛行機,ヒコウキ,ヒコウキ
️	記号,一般,*,*,*,*,*
塾高	名詞,固有名詞,一般,*,*,*,塾高,ジュクコウ,ジュクコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
学部	名詞,一般,*,*,*,*,学部,ガクブ,ガクブ
説明	名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
呼ば	動詞,自立,*,*,五段・バ行,未然形,呼ぶ,ヨバ,ヨバ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
辛かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛い,ツラカッ,ツラカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク
辛かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛い,ツラカッ,ツラカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ
、	記号,読点,*,*,*,*,、,、,、
辛かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛い,ツラカッ,ツラカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
目	名詞,一般,*,*,*,*,目,メ,メ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
座る	動詞,自立,*,*,五段・ラ行,基本形,座る,スワル,スワル
今どき	名詞,副詞可能,*,*,*,*,今どき,イマドキ,イマドキ
女子	名詞,一般,*,*,*,*,女子,ジョシ,ジョシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー
社会人	名詞,固有名詞,一般,*,*,*,社会人,シャカイジン,シャカイジン
ぽい	形容詞,接尾,*,*,形容詞・アウオ段,基本形,ぽい,ポイ,ポイ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
胸の谷間	名詞,固有名詞,一般,*,*,*,胸の谷間,ムネノタニマ,ムネノタニマ
」	記号,括弧閉,*,*,*,*,」,」,」
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
露	名詞,固有名詞,地域,国,*,*,露,ロ,ロ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
股	名詞,一般,*,*,*,*,股,マタ,マタ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
開い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,開く,ヒライ,ヒライ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
着座	名詞,サ変接続,*,*,*,*,着座,チャクザ,チャクザ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
スマホ	名詞,固有名詞,一般,*,*,*,スマホ,スマホ,スマホ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
いじり	動詞,自立,*,*,五段・ラ行,連用形,いじる,イジリ,イジリ
まくる	動詞,非自立,*,*,五段・ラ行,基本形,まくる,マクル,マクル
❗	記号,一般,*,*,*,*,!,ビックリ,ビックリ
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
？	記号,一般,*,*,*,*,？,？,？
自販機	名詞,一般,*,*,*,*,自販機,ジハンキ,ジハンキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
コーヒー	名詞,一般,*,*,*,*,コーヒー,コーヒー,コーヒー
飲む	動詞,自立,*,*,五段・マ行,基本形,飲む,ノム,ノム
上手い	形容詞,自立,*,*,形容詞・アウオ段,基本形,上手い,ウマイ,ウマイ
？	記号,一般,*,*,*,*,？,？,？
不味い	形容詞,自立,*,*,形容詞・アウオ段,基本形,不味い,マズイ,マズイ
？	記号,一般,*,*,*,*,？,？,？
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ
痛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,痛い,イタイ,イタイ
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク
もう	副詞,一般,*,*,*,*,もう,モウ,モー
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
自由が丘	名詞,固有名詞,地域,一般,*,*,自由が丘,ジユウガオカ,ジユーガオカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
スタート	名詞,サ変接続,*,*,*,*,スタート,スタート,スタート
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
泣く	動詞,自立,*,*,五段・カ行イ音便,基本形,泣く,ナク,ナク
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
悲しい	形容詞,自立,*,*,形容詞・イ段,基本形,悲しい,カナシイ,カナシイ
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ
嬉しい	形容詞,自立,*,*,形容詞・イ段,基本形,嬉しい,ウレシイ,ウレシイ
と	助詞,接続助詞,*,*,*,*,と,ト,ト
かじゃ	名詞,一般,*,*,*,*,冠者,カジャ,カジャ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
。	記号,句点,*,*,*,*,。,。,。
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
口	名詞,一般,*,*,*,*,口,クチ,クチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
荒れ	動詞,自立,*,*,一段,連用形,荒れる,アレ,アレ
胃	名詞,一般,*,*,*,*,胃,イ,イ
も	助詞,係助詞,*,*,*,*,も,モ,モ
荒れ	動詞,自立,*,*,一段,連用形,荒れる,アレ,アレ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
。	記号,句点,*,*,*,*,。,。,。
辛かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,辛い,ツラカッ,ツラカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
こんばんは	感動詞,*,*,*,*,*,こんばんは,コンバンハ,コンバンワ
ビニ	名詞,一般,*,*,*,*,*
傘	名詞,一般,*,*,*,*,傘,カサ,カサ
レインマン	名詞,固有名詞,一般,*,*,*,RAIN MAN,レインマン,レインマン
裏	名詞,一般,*,*,*,*,裏,ウラ,ウラ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
3位	名詞,固有名詞,一般,*,*,*,3位,サンイ,サンイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
てん	動詞,非自立,*,*,一段,体言接続特殊,てる,テン,テン
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
勝ち	動詞,自立,*,*,五段・タ行,連用形,勝つ,カチ,カチ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
モバイル	名詞,一般,*,*,*,*,モバイル,モバイル,モバイル
票	名詞,接尾,一般,*,*,*,票,ヒョウ,ヒョー
、	記号,読点,*,*,*,*,、,、,、
柱	名詞,一般,*,*,*,*,柱,ハシラ,ハシラ
票	名詞,接尾,一般,*,*,*,票,ヒョウ,ヒョー
、	記号,読点,*,*,*,*,、,、,、
CD	名詞,固有名詞,一般,*,*,*,CD,キャッシュディスペンサー,キャッシュディスペンサー
票	名詞,接尾,一般,*,*,*,票,ヒョウ,ヒョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
投じ	動詞,自立,*,*,一段,連用形,投じる,トウジ,トージ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
ツイッター	名詞,固有名詞,一般,*,*,*,Twitter,ツイッター,ツイッター
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ちょくちょく	副詞,一般,*,*,*,*,ちょくちょく,チョクチョク,チョクチョク
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
皆さん	名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
頑張っ	動詞,自立,*,*,五段・ラ行,連用タ接続,頑張る,ガンバッ,ガンバッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
投票	名詞,サ変接続,*,*,*,*,投票,トウヒョウ,トーヒョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
わかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,わかる,ワカッ,ワカッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
も	助詞,係助詞,*,*,*,*,も,モ,モ
がんばっ	動詞,自立,*,*,五段・ラ行,連用タ接続,がんばる,ガンバッ,ガンバッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
投票	名詞,サ変接続,*,*,*,*,投票,トウヒョウ,トーヒョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
！	記号,一般,*,*,*,*,！,！,！
#	記号,一般,*,*,*,*,*
まゆゆ	名詞,固有名詞,一般,*,*,*,まゆゆ,マユユ,マユユ
総選挙	名詞,固有名詞,一般,*,*,*,総選挙,ソウセンキョ,ソーセンキョ
1位	名詞,固有名詞,一般,*,*,*,1位,イチイ,イチー
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
ケージ	名詞,一般,*,*,*,*,ケージ,ケージ,ケージ
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ
ぞ	助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ
ゲージ	名詞,一般,*,*,*,*,ゲージ,ゲージ,ゲージ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
ちゃう	名詞,一般,*,*,*,*,茶宇,チャウ,チャウ
ぞ	助詞,係助詞,*,*,*,*,ぞ,ゾ,ゾ
気	名詞,一般,*,*,*,*,気,キ,キ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つけろ	動詞,自立,*,*,一段,命令ｒｏ,つける,ツケロ,ツケロ
東急目黒線	名詞,固有名詞,一般,*,*,*,東急目黒線,トウキュウメグロセン,トーキューメグロセン
乗車	名詞,サ変接続,*,*,*,*,乗車,ジョウシャ,ジョーシャ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
康晃	名詞,固有名詞,人名,名,*,*,康晃,ヤスアキ,ヤスアキ
ジャンプ	名詞,サ変接続,*,*,*,*,ジャンプ,ジャンプ,ジャンプ
！	記号,一般,*,*,*,*,！,！,！
御用	名詞,一般,*,*,*,*,御用,ゴヨウ,ゴヨー
ビニ	名詞,一般,*,*,*,*,*
傘	名詞,一般,*,*,*,*,傘,カサ,カサ
根性	名詞,一般,*,*,*,*,根性,コンジョウ,コンジョー
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
折	名詞,一般,*,*,*,*,折,オリ,オリ
ビ	名詞,一般,*,*,*,*,*
逆止弁	名詞,固有名詞,一般,*,*,*,逆止弁,ギャクシベン,ギャクシベン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
